web-scraper-order,web-scraper-start-url,containers,containers-href,prix,superficie ,adresse,image-src
"1739888623-386","https://sn.coinafrique.com/categorie/terrains","Terrain - Point E","https://sn.coinafrique.com/annonce/terrains/terrain-point-e-5147659","1 000 000 000 CFA","","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5147659_uploaded_image1_1737555192.jpg"
"1739888623-387","https://sn.coinafrique.com/categorie/terrains","Terrain - Point E","https://sn.coinafrique.com/annonce/terrains/terrain-point-e-5147659","1 000 000 000 CFA","","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5186683_uploaded_image1_1739607513.jpg"
"1739888623-388","https://sn.coinafrique.com/categorie/terrains","Terrain - Point E","https://sn.coinafrique.com/annonce/terrains/terrain-point-e-5147659","1 000 000 000 CFA","","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5185141_uploaded_image1_1739502833.jpg"
"1739888623-389","https://sn.coinafrique.com/categorie/terrains","Terrain - Point E","https://sn.coinafrique.com/annonce/terrains/terrain-point-e-5147659","1 000 000 000 CFA","","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5167333_uploaded_image1_1738597196.jpg"
"1739888623-390","https://sn.coinafrique.com/categorie/terrains","Terrain - Point E","https://sn.coinafrique.com/annonce/terrains/terrain-point-e-5147659","1 000 000 000 CFA","","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5099256_uploaded_image1_1734616946.jpg"
"1739888623-391","https://sn.coinafrique.com/categorie/terrains","Terrain - Point E","https://sn.coinafrique.com/annonce/terrains/terrain-point-e-5147659","1 000 000 000 CFA","","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5079477_uploaded_image1_1733495554.jpg"
"1739888623-392","https://sn.coinafrique.com/categorie/terrains","Terrain - Point E","https://sn.coinafrique.com/annonce/terrains/terrain-point-e-5147659","1 000 000 000 CFA","","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5042511_uploaded_image1_1731525173.jpg"
"1739888623-393","https://sn.coinafrique.com/categorie/terrains","Terrain - Point E","https://sn.coinafrique.com/annonce/terrains/terrain-point-e-5147659","1 000 000 000 CFA","","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_4964763_uploaded_image1_1727444345.jpg"
"1739888623-394","https://sn.coinafrique.com/categorie/terrains","Terrain - Point E","https://sn.coinafrique.com/annonce/terrains/terrain-point-e-5147659","1 000 000 000 CFA","","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_4885785_uploaded_image1_1723209133.jpg"
"1739888623-395","https://sn.coinafrique.com/categorie/terrains","Terrain - Point E","https://sn.coinafrique.com/annonce/terrains/terrain-point-e-5147659","1 000 000 000 CFA","","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_4875643_uploaded_image1_1722706983.jpg"
"1739888623-396","https://sn.coinafrique.com/categorie/terrains","Terrain - Point E","https://sn.coinafrique.com/annonce/terrains/terrain-point-e-5147659","1 000 000 000 CFA","","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_4854253_uploaded_image1_1721599977.jpg"
"1739888623-397","https://sn.coinafrique.com/categorie/terrains","Terrain - Point E","https://sn.coinafrique.com/annonce/terrains/terrain-point-e-5147659","1 000 000 000 CFA","","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_4826522_uploaded_image1_1720132079.jpg"
"1739888625-398","https://sn.coinafrique.com/categorie/terrains","Terrains 150m²  - Almadies","https://sn.coinafrique.com/annonce/terrains/terrains-150m-almadies-5179205","5 000 000 CFA","150","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5177615_uploaded_image1_1739119600.jpg"
"1739888625-399","https://sn.coinafrique.com/categorie/terrains","Terrains 150m²  - Almadies","https://sn.coinafrique.com/annonce/terrains/terrains-150m-almadies-5179205","5 000 000 CFA","150","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5181121_uploaded_image1_1739294420.jpg"
"1739888625-400","https://sn.coinafrique.com/categorie/terrains","Terrains 150m²  - Almadies","https://sn.coinafrique.com/annonce/terrains/terrains-150m-almadies-5179205","5 000 000 CFA","150","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5179205_uploaded_image1_1739199927.jpg"
"1739888625-401","https://sn.coinafrique.com/categorie/terrains","Terrains 150m²  - Almadies","https://sn.coinafrique.com/annonce/terrains/terrains-150m-almadies-5179205","5 000 000 CFA","150","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5144242_uploaded_image1_1737396762.jpg"
"1739888625-402","https://sn.coinafrique.com/categorie/terrains","Terrains 150m²  - Almadies","https://sn.coinafrique.com/annonce/terrains/terrains-150m-almadies-5179205","5 000 000 CFA","150","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5153184_uploaded_image1_1737839053.jpg"
"1739888625-403","https://sn.coinafrique.com/categorie/terrains","Terrains 150m²  - Almadies","https://sn.coinafrique.com/annonce/terrains/terrains-150m-almadies-5179205","5 000 000 CFA","150","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5104349_uploaded_image1_1734963553.jpg"
"1739888625-404","https://sn.coinafrique.com/categorie/terrains","Terrains 150m²  - Almadies","https://sn.coinafrique.com/annonce/terrains/terrains-150m-almadies-5179205","5 000 000 CFA","150","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_4963880_uploaded_image1_1727384725.jpg"
"1739888625-405","https://sn.coinafrique.com/categorie/terrains","Terrains 150m²  - Almadies","https://sn.coinafrique.com/annonce/terrains/terrains-150m-almadies-5179205","5 000 000 CFA","150","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_4921573_uploaded_image1_1725206384.jpg"
"1739888625-406","https://sn.coinafrique.com/categorie/terrains","Terrains 150m²  - Almadies","https://sn.coinafrique.com/annonce/terrains/terrains-150m-almadies-5179205","5 000 000 CFA","150","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_4838641_uploaded_image1_1720720613.jpg"
"1739888625-407","https://sn.coinafrique.com/categorie/terrains","Terrains 150m²  - Almadies","https://sn.coinafrique.com/annonce/terrains/terrains-150m-almadies-5179205","5 000 000 CFA","150","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_4571181_uploaded_image1_1706713946.jpg"
"1739888625-408","https://sn.coinafrique.com/categorie/terrains","Terrains 150m²  - Almadies","https://sn.coinafrique.com/annonce/terrains/terrains-150m-almadies-5179205","5 000 000 CFA","150","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_4571186_uploaded_image1_1706714089.jpg"
"1739888625-409","https://sn.coinafrique.com/categorie/terrains","Terrains 150m²  - Almadies","https://sn.coinafrique.com/annonce/terrains/terrains-150m-almadies-5179205","5 000 000 CFA","150","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_4574217_uploaded_image1_1706841459.jpg"
"1739888628-410","https://sn.coinafrique.com/categorie/terrains","Terrains 375m²  -Croisement  Malico...","https://sn.coinafrique.com/annonce/terrains/terrains-375m-croisement-malicounda-5188370","15 000 000 CFA","375","Mbour, Sénégal","https://images.coinafrique.com/thumb_5188370_uploaded_image1_1739720621.jpg"
"1739888630-411","https://sn.coinafrique.com/categorie/terrains","Terrain 8,5ha 1er position -Mbodiene","https://sn.coinafrique.com/annonce/terrains/terrain-8-5ha-1er-position-mbodiene-5188390","20 000 CFA","8500000","Mbour, Sénégal",""
"1739888633-412","https://sn.coinafrique.com/categorie/terrains","Terrains 189m²  - Mamelles","https://sn.coinafrique.com/annonce/terrains/terrains-189m-mamelles-5169711","110 000 000 CFA","189","Mamelles, Dakar, Sénégal","https://images.coinafrique.com/thumb_5169711_uploaded_image1_1738684243.jpg"
"1739888636-413","https://sn.coinafrique.com/categorie/terrains","Terrains 211m²  - Mermoz-sacré coeur","https://sn.coinafrique.com/annonce/terrains/terrains-211m-mermoz-sacre-coeur-5169803","235 000 000 CFA","211","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5169803_uploaded_image1_1738686065.jpg"
"1739888639-414","https://sn.coinafrique.com/categorie/terrains","Terrains 215m² - Mamelles","https://sn.coinafrique.com/annonce/terrains/terrains-215m-mamelles-5170063","140 000 000 CFA","215","Mamelles, Dakar, Sénégal","https://images.coinafrique.com/thumb_5170063_uploaded_image1_1738695163.jpg"
"1739888642-415","https://sn.coinafrique.com/categorie/terrains","Terrain 150m² TF -Cite Keur massar","https://sn.coinafrique.com/annonce/terrains/terrain-150m-tf-cite-keur-massar-5150456","22 000 000 CFA","150 m2","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5150456_uploaded_image1_1737675170.jpg"
"1739888642-416","https://sn.coinafrique.com/categorie/terrains","Terrain 150m² TF -Cite Keur massar","https://sn.coinafrique.com/annonce/terrains/terrain-150m-tf-cite-keur-massar-5150456","22 000 000 CFA","150 m2","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4231163_uploaded_image1_1685101424.51.jpeg"
"1739888647-417","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m² - Sangalkam","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-sangalkam-5188960","4 200 000 CFA","150","Rufisque, Sénégal","https://images.coinafrique.com/thumb_5188960_uploaded_image1_1739756010.jpg"
"1739888647-418","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m² - Sangalkam","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-sangalkam-5188960","4 200 000 CFA","150","Rufisque, Sénégal","https://images.coinafrique.com/thumb_5127587_uploaded_image1_1736449792.jpg"
"1739888647-419","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m² - Sangalkam","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-sangalkam-5188960","4 200 000 CFA","150","Rufisque, Sénégal","https://images.coinafrique.com/thumb_5086661_uploaded_image1_1733918764.jpg"
"1739888647-420","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m² - Sangalkam","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-sangalkam-5188960","4 200 000 CFA","150","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4930717_uploaded_image1_1725613257.jpg"
"1739888647-421","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m² - Sangalkam","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-sangalkam-5188960","4 200 000 CFA","150","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4809894_uploaded_image1_1719320546.jpg"
"1739888647-422","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m² - Sangalkam","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-sangalkam-5188960","4 200 000 CFA","150","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4655915_uploaded_image1_1711198331.jpg"
"1739888647-423","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m² - Sangalkam","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-sangalkam-5188960","4 200 000 CFA","150","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4567453_uploaded_image1_1706524882.79.jpeg"
"1739888647-424","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m² - Sangalkam","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-sangalkam-5188960","4 200 000 CFA","150","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4382058_uploaded_image1_1695089725.jpg"
"1739888647-425","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m² - Sangalkam","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-sangalkam-5188960","4 200 000 CFA","150","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4377978_uploaded_image1_1694780257.jpg"
"1739888647-426","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m² - Sangalkam","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-sangalkam-5188960","4 200 000 CFA","150","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4086824_uploaded_image1_1675882757.jpg"
"1739888647-427","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m² - Sangalkam","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-sangalkam-5188960","4 200 000 CFA","150","Rufisque, Sénégal","https://images.coinafrique.com/thumb_3894237_uploaded_image1_1664221057.jpg"
"1739888647-428","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m² - Sangalkam","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-sangalkam-5188960","4 200 000 CFA","150","Rufisque, Sénégal","https://images.coinafrique.com/thumb_3766350_uploaded_image1_1656676496.jpg"
"1739888651-429","https://sn.coinafrique.com/categorie/terrains","Terrain 200 m² - Ngor Virage","https://sn.coinafrique.com/annonce/terrains/terrain-200-m-ngor-virage-5189307","95 000 000 CFA","200 m2","Dakar, Sénégal","https://images.coinafrique.com/thumb_5189307_uploaded_image1_1739790564.jpg"
"1739888651-430","https://sn.coinafrique.com/categorie/terrains","Terrain 200 m² - Ngor Virage","https://sn.coinafrique.com/annonce/terrains/terrain-200-m-ngor-virage-5189307","95 000 000 CFA","200 m2","Dakar, Sénégal","https://images.coinafrique.com/thumb_3803380_uploaded_image1_1659011795.jpg"
"1739888651-431","https://sn.coinafrique.com/categorie/terrains","Terrain 200 m² - Ngor Virage","https://sn.coinafrique.com/annonce/terrains/terrain-200-m-ngor-virage-5189307","95 000 000 CFA","200 m2","Dakar, Sénégal","https://images.coinafrique.com/thumb_5167070_uploaded_image1_1738589276.jpg"
"1739888651-432","https://sn.coinafrique.com/categorie/terrains","Terrain 200 m² - Ngor Virage","https://sn.coinafrique.com/annonce/terrains/terrain-200-m-ngor-virage-5189307","95 000 000 CFA","200 m2","Dakar, Sénégal","https://images.coinafrique.com/thumb_2932456_uploaded_image1_1612468803.jpg"
"1739888651-433","https://sn.coinafrique.com/categorie/terrains","Terrain 200 m² - Ngor Virage","https://sn.coinafrique.com/annonce/terrains/terrain-200-m-ngor-virage-5189307","95 000 000 CFA","200 m2","Dakar, Sénégal","https://images.coinafrique.com/thumb_2056296_uploaded_image1_1588615581.5.jpeg"
"1739888651-434","https://sn.coinafrique.com/categorie/terrains","Terrain 200 m² - Ngor Virage","https://sn.coinafrique.com/annonce/terrains/terrain-200-m-ngor-virage-5189307","95 000 000 CFA","200 m2","Dakar, Sénégal","https://images.coinafrique.com/thumb_1437994_uploaded_image1_1578348157.83.png"
"1739888654-435","https://sn.coinafrique.com/categorie/terrains","Terrain 500 m² - Sinthiou Mbadane Peul","https://sn.coinafrique.com/annonce/terrains/terrain-500-m-sinthiou-mbadane-peul-5189532","5 500 000 CFA","500","Mbour, Sénégal","https://images.coinafrique.com/thumb_5189532_uploaded_image1_1739796321.jpg"
"1739888657-436","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m`  - Guediawaye","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-guediawaye-5189776","25 000 000 CFA","150","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5189776_uploaded_image1_1739803362.jpg"
"1739888657-437","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m`  - Guediawaye","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-guediawaye-5189776","25 000 000 CFA","150","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5128411_uploaded_image1_1736506097.jpg"
"1739888657-438","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m`  - Guediawaye","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-guediawaye-5189776","25 000 000 CFA","150","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5126896_uploaded_image1_1736425535.jpg"
"1739888657-439","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m`  - Guediawaye","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-guediawaye-5189776","25 000 000 CFA","150","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5038195_uploaded_image1_1731331382.jpg"
